id,group_id,sender_id,content,message_type,reply_to,created_at,updated_at,note_id
d2b9c280-5c85-4286-ab51-d46dd55f4f50,90d9845a-742e-42ad-aa7b-c2fb948c58f5,583ff946-d266-4886-a496-8b41c95d7001,"This guy dey chat himself wagwan, senior dev ehn, pele 😹",text,,2025-09-30 23:36:20.854317+00,,
d33a8aaa-89e2-4979-a3bc-e93327e793d5,90d9845a-742e-42ad-aa7b-c2fb948c58f5,ec45ed0d-4b29-4fab-aced-8ea48094ef01,hey,text,,2025-09-30 22:08:42.883032+00,,
d6f52334-83f7-4313-9d9b-b0c54b5bf79b,9efff110-a766-472d-91e4-4df704adebe8,460c8436-aa48-438d-ad41-0e36f89e9b9e,Wetin una think?,text,,2025-10-29 20:29:34.367457+00,,4b9e3f52-9702-49f7-80d8-af377fd802d8
d831f4e6-b8d2-495d-b7da-a070dbbc55ce,9efff110-a766-472d-91e4-4df704adebe8,ec45ed0d-4b29-4fab-aced-8ea48094ef01,You can post more about this,text,d6f52334-83f7-4313-9d9b-b0c54b5bf79b,2025-10-29 20:31:34.792933+00,,
dfe3480e-3d44-4dd3-9d72-d2c6bfea8989,9efff110-a766-472d-91e4-4df704adebe8,ec45ed0d-4b29-4fab-aced-8ea48094ef01,How far na,text,,2025-10-29 20:22:17.977962+00,,
e07a6abd-1b12-4a04-94e7-4c19dc724e49,40f1c8cf-16f4-4605-9152-f92b6c3e54fb,ec45ed0d-4b29-4fab-aced-8ea48094ef01,,text,,2025-10-11 18:34:14.490242+00,,e4f13475-59d2-4bfb-902f-25964999172e
e12aea60-28f3-41f3-91c6-bde7d2854695,4ad93d4c-fafe-4dcc-a237-5eed416375cd,ae2b9b64-137b-4620-a9c1-34f24ce84c6a,Hey guys 👋,text,,2025-10-01 02:18:24.297927+00,,
e1d2e629-5177-417f-9006-7b05201c4a39,6596d81b-9204-48bf-a77c-a5ebdc559ad4,ec45ed0d-4b29-4fab-aced-8ea48094ef01,hey,text,,2025-10-05 20:32:25.420978+00,,
ed8bc94b-6600-4c35-b787-f2a4f9dd630a,40f1c8cf-16f4-4605-9152-f92b6c3e54fb,ec45ed0d-4b29-4fab-aced-8ea48094ef01,,text,,2025-09-30 22:27:15.938734+00,,f9551d2d-44d0-4223-90d8-ec00cc427f71
ee9e3150-c389-4a25-8719-9573cb5830df,90d9845a-742e-42ad-aa7b-c2fb948c58f5,ec45ed0d-4b29-4fab-aced-8ea48094ef01,Yeah this night,text,95e61b7b-01b7-4db9-9cb2-ccf9c314d382,2025-09-30 23:37:29.348481+00,,
f05c305d-991f-4322-95d3-1bf4acd8f6e8,90d9845a-742e-42ad-aa7b-c2fb948c58f5,ec45ed0d-4b29-4fab-aced-8ea48094ef01,howdy,text,,2025-09-29 00:55:50.560561+00,,
f40e9a3a-8b37-43a0-b533-1d27b5a2f33d,9efff110-a766-472d-91e4-4df704adebe8,460c8436-aa48-438d-ad41-0e36f89e9b9e,I dey,text,2accdddb-d54e-4000-8558-0df04dae42b1,2025-10-29 20:23:27.59813+00,,
fb810245-7506-4d6b-b8ba-3c8f511f237f,90d9845a-742e-42ad-aa7b-c2fb948c58f5,583ff946-d266-4886-a496-8b41c95d7001,"Make I no lie, na you o
Mehn, I can feel the amount of stress filled work you did here",text,,2025-09-30 23:44:50.981724+00,,
fc725b39-1438-41da-9cb0-8eb0c0d12ad4,90d9845a-742e-42ad-aa7b-c2fb948c58f5,ec45ed0d-4b29-4fab-aced-8ea48094ef01,Omo anything goes,text,ba4f3bed-47ee-41bb-8a9c-354d95980a47,2025-09-30 23:50:54.15109+00,,
fdb8ad14-9cfa-4c45-bf9b-9b0f826323e0,90d9845a-742e-42ad-aa7b-c2fb948c58f5,ae2b9b64-137b-4620-a9c1-34f24ce84c6a,hey there,text,,2025-09-29 00:59:25.922567+00,,
